January_2015,Febuary_2015,March_2015,April_2015,May_2015,June_2015,July_2015,August_2015,September_2015,October_2015,November_2015,December_2015,January_2016,Febuary_2016,March_2016,April_2016,May_2016,June_2016,July_2016,August_2016,September_2016,October_2016,November_2016,December_2016,January_2017,Febuary_2017,March_2017,April_2017,May_2017,June_2017,July_2017,August_2017,September_2017,October_2017,November_2017,December_2017,Target
18.434,20.718,19.733,23.629,20.603,22.512,22.482,20.28,21.555,23.471,19.658,23.337,18.812,18.608,21.941,21.397,23.326,23.862,23.767,22.695,21.565,19.293,20.226,19.849,19.085,19.933,21.005,19.118,21.958,21.017,19.309,23.361,23.338,21.608,23.31,18.881,Normal
9.5,9.55,13.832,8.897,8.522,11.499,9.261,12.891,13.908,11.814,8.611,10.167,12.465,10.367,8.862,10.333,12.012,12.517,12.549,11.916,13.264,9.829,12.268,11.815,10.762,9.085,12.089,12.536,8.323,8.118,8.986,10.245,13.48,10.592,9.596,11.975,Normal
30.035,33.603,28.222,30.028,28.145,30.174,28.406,30.269,33.413,29.213,28.82,30.329,28.227,30.576,30.268,29.999,32.42,32.648,32.968,32.113,31.992,28.056,28.112,29.399,28.584,28.186,31.739,30.992,30.799,31.373,28.43,32.789,28.668,29.71,30.408,31.775,Normal
6.265,3.445,6.418,6.831,7.153,3.584,7.136,5.554,5.707,3.207,5.717,7.604,6.222,6.772,6.337,5.33,6.584,3.332,7.98,4.867,4.161,5.528,5.571,5.979,7.459,7.262,4.55,6.199,6.711,5.05,4.595,4.225,7.514,3.516,3.544,3.692,Normal
14.506,14.699,16.773,15.755,15.844,17.9,15.908,14.834,15.765,15.429,13.664,17.968,17.375,12.29,14.147,17.8,14.827,14.559,15.423,14.633,15.144,14.737,17.121,16.951,17.011,15.374,15.317,12.76,17.694,16.623,13.244,12.795,15.269,14.484,12.53,16.861,Normal
27.361,24.041,27.131,25.726,26.489,27.767,28.16,26.071,25.294,28.119,27.357,24.734,25.699,28.115,24.523,25.716,23.674,27.72,23.018,27.242,24.25,28.195,27.69,27.115,28.259,23.03,26.243,28.597,25.996,26.378,25.06,25.052,27.614,25.749,27.845,27.315,Normal
12.897,15.422,11.008,13.811,12.623,10.061,14.236,11.29,14.778,10.759,12.891,14.321,12.66,10.453,15.531,14.028,13.821,14.545,12.713,10.098,13.335,13.881,14.161,12.463,13.603,13.305,14.395,15.083,10.626,12.263,13.31,10.811,11.302,15.976,12.405,12.797,Normal
23.038,26.495,23.02,24.079,26.526,23.779,25.086,22.374,21.207,24.389,22.782,22.348,24.757,21.931,22.719,24.118,26.337,25.316,25.087,22.761,21.296,23.046,22.082,22.055,23.35,25.883,23.478,25.499,25.143,24.341,25.593,21.54,26.521,22.037,24,25.227,Normal
11.295,10.108,9.534,6.176,6.455,9.745,8.442,11.365,9.193,7.199,11.968,9.366,11.061,6.816,11.465,7.033,6.003,7.509,7.593,10.267,8.322,6.167,9.013,7.583,8.382,9.468,9.918,6.863,9.798,10.431,9.595,8.199,8.617,6.664,11.514,7.988,Normal
41.609,41.453,40.395,44.672,43.349,42.14,41.908,40.189,40.035,44.516,41.196,43.281,40.246,41.098,41.325,41.866,43.711,40.483,43.691,40.12,44.436,43.557,42.31,45.749,45.185,42.786,40.022,45.569,40.051,44.806,44.681,45.362,43.321,44.353,43.098,42.915,Normal
5.606,4.765,1.726,4.494,4.238,1.391,1.068,3.119,1.802,5.029,2.58,5.901,3.926,2.245,3.733,5.758,3.237,4.594,3.377,5.048,5.711,4.986,4.403,1.918,1.136,2.095,4.802,4.823,1.716,4.191,3.496,1.684,2.797,5.977,3.431,5.06,Normal
18.689,18.076,20.925,17.448,19.161,19.683,17.415,20.485,15.329,20.734,17.02,18.18,20.102,20.182,20.693,16.804,18.977,18.92,17.082,17.323,19.59,19.179,15.718,16.796,16.921,19.034,17.013,16.254,17.167,15.092,18.961,15.387,15.263,20.514,20.52,17.023,Normal
21.025,25.307,22.297,25.151,23.96,25.284,25.559,21.953,23.282,25.397,22.68,26.403,25.665,21.463,24.862,23.534,21.801,26.178,26.864,24.911,25.799,21.594,23.884,26.441,26.852,25.465,21.494,25.817,22.481,23.467,24.797,25.308,26.552,22.896,25.079,22.705,Normal
29.17,30.506,27.913,27.48,31.914,29.778,32.963,27.071,31.695,30.568,28.493,32.694,30.393,29.742,28.045,28.344,27.693,32.392,27.859,29.983,29.158,27.429,31.68,29.284,30.699,31.939,32.233,28.487,28.623,30.133,31.292,29.393,27.113,29.867,31.265,28.746,Normal
14.745,15.183,15.265,16.935,15.272,17.074,12.895,17.154,13.086,14.814,17.217,12.127,12.855,15.937,12.385,16.199,15.324,14.979,14.498,17.476,12.345,16.905,15.358,16.442,15.344,12.591,16.669,15.475,14.681,14.613,17.476,13.067,17.712,17.715,13.382,14.094,Normal
23.339,25.69,21.8,22.853,20.027,24.974,20.314,25.047,24.343,24.936,25.349,21.37,22.282,21.835,22.983,24.13,22.314,21.356,22.818,21.864,24.141,25.004,21.201,23.971,24.574,20.052,25.944,21.994,23.307,20.16,23.46,21.555,24.368,21.507,23.03,24.851,Normal
33.098,30.656,35.645,34.72,31.521,30.994,32.04,30.143,34.894,31.066,34.738,34.259,34.72,31.966,32.021,31.121,34.549,32.689,33.948,35.316,31.702,31.329,35.157,31.344,35.726,33.244,33.118,32.106,32.508,34.371,34.152,30.266,32.165,33.501,35.514,31.241,Normal
3.63,3.242,7.649,3.681,4.83,5.423,3.845,6.547,5.899,6.085,5.642,4.134,3.581,8.878,6.066,8.769,5.347,5.893,3.531,4.883,4.294,8.964,3.326,3.684,4.151,4.404,7.765,8.727,6.473,7.537,4.614,7.013,7.834,8.93,5.404,8.606,Normal
28.735,23.689,25.724,27.996,25.232,26.926,23.76,26.842,25.473,24.182,26.204,27.231,25.825,28.432,26.801,24.674,28.21,26.081,24.211,23.907,25.301,25.95,27.415,28.266,26.983,24.818,26.885,23.82,24.082,25.483,26.596,26.544,24.519,26.602,26.484,28.907,Normal
27.653,27.494,24.834,24.48,25.524,26.224,25.88,23.395,23.527,27.627,26.226,27.664,26.45,24.204,27.968,28.24,23.166,23.748,27.176,25.653,28.354,25.367,26.516,25.714,28.296,25.378,28.73,24.19,27.754,23.323,25.732,26.744,25.455,25.143,24.37,25.371,Normal
6.459,6.29,5.644,6.134,6.663,5.628,4.178,4.916,3.784,7.853,3.548,3.58,6.997,5.428,3.293,4.704,4.31,6.882,4.702,7.094,7.373,3.738,6.808,6.47,5.679,5.232,5.95,4.612,4.858,5.135,7.055,6.433,6.12,5.74,4.122,7.291,Normal
28.382,33.241,33.625,32.262,32.713,33.864,32.8,32.039,31.826,30.569,28.368,32.725,28.96,32.562,32.977,28.34,30.38,28.916,28.871,28.843,30.031,31.545,28.639,33.808,32.771,30.543,30.505,30.575,30.801,28.787,30.042,30.509,30.235,30.498,32.59,28.946,Normal
7.073,7.164,5.933,8.734,8.138,9.612,8.463,7.032,9.691,7.146,7.106,8.718,9.963,5.109,4.092,7.991,6.363,6.305,5.408,7.922,9.673,8.605,4.469,5.186,7.048,7.569,6.042,7.406,4.011,7.027,9.738,9.516,8.349,6.614,8.663,4.794,Normal
35.123,36.555,34.181,32.166,34.424,33.19,36.829,35.975,36.122,35.047,35.933,33.087,33.365,32.003,33.477,34.279,35.754,32.919,35.737,35.745,36.872,35.059,32.533,34.526,35.353,36.522,32.569,32.566,33.16,34.51,34.018,34.083,34.114,36.126,32.705,35.111,Normal
22.31,21.682,26.861,22.304,23.992,23.103,22.386,26.452,24.593,26.912,21.515,22.277,26.895,25.015,25.166,25.24,23.918,21.894,24.471,22.989,23.116,23.961,26.032,22.315,21.697,25.714,22.843,22.004,23.419,21.707,23.246,26.036,26.185,26.718,25.319,21.232,Normal
7.463,6.365,7.994,8.988,9.613,4.704,7.17,5.28,8.421,6.167,5.196,7.272,4.39,7.589,7.172,8.852,7.04,4.18,8.196,7.383,8.606,9.759,4.43,7.044,9.003,5.8,8.525,8.138,5.951,4.975,8.777,4.534,5.827,7.078,4.23,6.558,Normal
16.129,15.293,19.308,15.931,18.505,15.713,16.329,15.83,18.958,17.662,20.216,19.021,20.945,15.019,16.287,18.834,18.659,16.601,17.435,19.69,16.487,19.501,20.825,15.497,20.704,20.528,20.093,16.409,16.617,16.703,18.555,19.324,15.727,15.88,20.553,17.391,Normal
17.828,21.204,20.019,22.81,22.243,22.3,22.28,21.469,22.89,19.329,18.636,18.462,21.537,19.264,21.142,21.641,19.077,18.361,18.246,17.232,19.356,20.363,20.757,20.211,19.028,18.932,20.025,22.099,21.593,20.902,22.674,17.669,20.228,19.572,20.129,22.082,Normal
13.333,17.18,9.36,14.084,15.021,13.945,14.974,13.407,16.759,8.997,10.282,8.126,17.305,9.098,13.132,14.011,8.587,16.534,10.135,10.836,9.779,15.465,11.312,9.29,8.881,16.452,12.051,13.933,15.177,17.194,15.032,10.015,14.136,15.787,12.153,15.892,Normal
11.139,9.622,9.136,12.818,8.642,9.529,8.27,10.749,12.549,12.686,13.908,10.297,10.571,8.761,13.544,12.398,9.721,8.697,11.623,12.166,11.682,13.972,8.153,13.97,11.917,10.181,8.434,8.848,13.436,8.616,9.767,8.066,10.41,11.422,11.022,12.413,Normal
8.373,12.635,13.522,8.311,9.778,9.603,8.973,12.618,14.903,11.403,13.901,8.287,9.875,9.483,14.467,8.48,10.455,9.766,11.245,8.673,13.364,8.306,8.127,9.925,11.981,11.138,8.595,9.047,14.796,10.953,14.218,9.563,12.97,9.731,9.553,12.234,Normal
20.593,17.346,19.076,20.821,16.056,19.59,18.97,19.094,18.816,19.624,20.763,19.176,20.272,17.103,18.553,19.262,19.804,15.02,19.328,16.716,20.374,15.46,18.722,18.654,17.71,19.896,19.852,19.147,19.053,16.861,16.606,15.606,20.952,20.658,19.098,18.989,Normal
24.701,24.504,21.297,23.603,26.683,21.269,22.132,24.066,23.134,25.243,23.294,22.538,21.158,24.816,24.192,22.576,24.138,22.73,21.703,21.532,22.712,25.917,26.646,24.598,23.607,22.19,23.442,26.29,26.001,22.136,22.961,21.772,22.941,26.186,21.693,21.692,Normal
25.071,28.062,28.199,23.29,23.604,26.852,25.074,26.22,26.157,24.491,24.532,24.556,27.424,24.16,27.779,28.627,24.203,23,24.454,27.778,25.76,27.364,28.625,26.248,27.937,27.224,23.095,27.57,23.124,25.733,25.152,28.814,27.003,28.439,26.541,25.704,Normal
38.983,36.935,37.08,36.822,35.835,34.071,35.743,38.125,36.808,37.452,35.307,35.239,36.409,37.217,34.614,34.522,35.247,37.084,34.981,37.286,37.705,37.188,38.556,34.089,34.294,38.397,34.075,38.912,36.54,34.759,37.315,36.542,37.249,35.016,35.911,37.439,Normal
33.926,35.46,33.731,32.303,30.397,31.246,34.608,31.384,30.617,30.494,31.331,34.315,30.572,30.238,31.384,32.334,31.952,32.295,32.302,35.651,30.967,35.267,32.695,30.981,32.499,34.239,34.999,31.101,31.744,35.83,34.317,35.235,30.864,34.679,32.592,31.851,Normal
10.271,14.641,13.577,14.272,14.447,13.767,13.708,15.21,14.335,13.061,11.115,14.52,13.257,12.731,10.969,14.143,12.836,13.219,12.296,13.085,15.837,10.656,11.312,12.033,11.311,12.393,11.934,11.259,14.624,13.852,12.357,12.893,14.991,12.542,13.404,13.276,Normal
30.474,28.719,26.982,25.581,30.557,30.935,25.796,28.112,27.283,28.061,30.648,26.846,30.446,28.712,28.45,29.017,26.249,25.734,25.193,29.599,27.265,30.739,26.636,26.235,26.94,28.805,29.126,28.961,25.726,25.15,25.602,26.42,28.826,29.386,30.851,26.833,Normal
24,23.246,26.51,27.983,28.085,23.319,23.099,26.501,23.127,28.025,26.051,26.412,28.512,23.656,28.554,28.253,23.763,24.999,23.754,26.794,27.786,27.226,28.736,23.44,26.696,27.334,26.045,28.068,24.44,26.252,28.392,27.009,26.906,28.868,24.293,25.995,Normal
11.428,8.162,9.112,8.464,9.397,9.865,8.4,10.604,11.596,11.625,12.667,13.817,12.073,9.694,13.459,8.059,10.948,8.362,13.797,11.682,12.473,11.103,13.899,8.852,8.271,13.54,10.534,11.084,12.461,14,11.838,10.303,11.025,13.159,8.046,9.059,Normal
8.642,8.908,6.848,6.69,6.877,8.659,7.44,6.182,6.507,6.881,6.221,7.177,6.514,9.892,6.109,9.088,6.053,9.195,7.147,8.566,6.055,7.0,7.761,9.604,8.163,9.498,9.983,9.558,9.915,9.448,8.666,9.875,9.583,8.353,9.204,9.317,Normal
8.689,3.166,8.197,7.539,3.965,4.345,3.875,3.339,3.567,5.039,3.365,5.014,6.504,3.643,6.035,6.29,8.816,4.121,7.123,7.9,4.822,8.39,4.221,6.711,8.562,6.454,3.458,5.551,4.842,6.783,7.989,5.194,7.848,3.394,4.07,4.657,Normal
55.674,55.676,50.914,52.333,54.874,52.093,51.648,50.891,53.106,55.002,52.873,55.777,51.257,55.127,50.266,51.741,50.8,51.944,55.16,51.38,51.193,55.176,52.339,52.606,50.485,54.246,51.538,51.991,53.206,50.978,52.125,53.812,51.18,50.96,54.065,53.882,Normal
12.42,12.2,14.18,14.62,11.29,13.21,13.36,12.66,13.7,12.35,10.24,12.25,14.52,14.86,11.09,11.67,12.49,14.96,10.73,14.4,11.18,13.91,14.44,12.03,13.72,10.44,10.22,12.29,10.57,12.94,14.75,14.34,13.61,14.63,11.82,11.85,Normal
16.75,15.23,15.87,13.26,13.17,16.88,14.99,16.32,14.34,14.49,16.75,13.37,13.18,14.93,13.8,15.57,16.97,16.21,16.02,15.4,13.33,15.81,13.07,13.81,13.8,13.6,14.22,14.0,14.39,14.7,15.9,15.85,16.69,13.69,14.45,17.0,Normal
16.15,14.04,15.12,15.49,16.59,13.07,13.31,16.18,15.1,13.14,16.94,14.75,14.57,16.83,15.26,14.97,14.93,16.83,14.85,16.26,16.03,15.37,14.49,16.79,14.07,15.89,14.12,13.82,16.34,16.62,14.57,16.86,13.2,13.27,15.92,13.66,Normal
14.517,14.11,13.761,16.073,14.014,13.621,16.045,15.351,15.461,16.969,14.698,15.866,13.517,14.818,15.1,15.135,15.004,13.534,15.798,14.136,15.288,14.01,16.351,16.851,14.495,14.044,14.359,16.761,15.559,15.254,16.147,16.885,14.447,16.092,14.223,15.221,Normal
18.817,18.872,19.669,18.522,20.156,17.996,19.973,19.422,19.526,19.249,20.5,19.896,18.089,19.065,18.553,17.514,17.022,17.415,19.343,19.895,19.923,18.774,17.038,18.032,20.244,17.669,19.11,19.946,18.61,18.878,20.196,19.926,20.452,19.903,17.993,18.705,Normal
17.953,17.618,19.558,18.951,18.745,19.986,19.262,18.38,19.76,17.23,20.058,17.305,20.207,19.112,18.062,17.651,19.826,17.196,17.402,18.369,19.99,18.334,19.399,19.735,19.691,17.441,18.931,18.134,19.927,19.559,17.051,17.993,18.206,17.865,18.503,18.25,Normal
21.007,22.151,22.663,22.545,21.192,21.465,23.069,20.346,20.486,22.513,21.472,20.896,20.205,20.296,22.372,21.89,20.647,23.426,23.089,21.809,20.253,22.232,21.002,22.508,21.998,20.349,21.118,20.857,21.727,22.755,20.563,22.303,22.395,22.736,21.772,22.485,Normal
21.92,20.522,23.352,23.434,20.697,21.832,23.056,20.574,22.99,23.076,23.255,21.293,20.772,23.351,21.979,21.909,22.804,22.22,21.07,23.086,21.847,20.586,22.206,22.968,22.685,21.121,20.854,23.418,21.918,20.241,20.982,20.279,21.43,22.933,22.677,22.087,Normal
30.087,31.248,32.991,32.31,34.764,32.183,33.135,31.875,31.039,32.762,30.576,30.12,32.272,34.542,30.743,32.746,30.208,33.673,30.756,34.91,32.169,34.984,35.342,32.008,33.62,33.303,35.176,30.562,33.936,35.23,33.248,33.593,34.62,30.972,32.749,35.049,Normal
34.404,31.896,33.98,34.351,32.572,33.386,30.767,35.309,35.491,32.994,32.99,31.561,30.492,30.675,34.859,34.312,31.348,35.103,32.133,30.726,30.81,32.161,30.492,34.476,30.572,32.778,34.949,32.098,33.126,30.519,31.387,35.251,30.388,31.349,31.971,34.114,Normal
9.437,11.892,11.513,11.244,9.502,9.337,11.035,9.981,9.748,9.52,10.068,10.527,11.052,10.587,9.513,12.032,10.24,9.35,9.689,9.747,11.953,9.027,11.071,10.965,10.953,12.239,11.379,10.011,9.344,11.359,11.494,9.49,10.163,11.049,9.271,10.718,Normal
11.213,11.521,8.917,9.983,11.572,10.374,9.382,8.5,8.828,10.457,9.589,9.927,9.052,9.575,11.948,10.641,9.038,10.473,10.442,11.238,8.639,11.072,11.909,11.231,10.476,10.059,11.68,8.914,11.427,10.158,9.344,9.007,8.546,11.891,8.755,8.896,Normal
10.815,11.042,10.643,9.027,8.812,9.593,9.92,8.965,9.669,11.685,11.84,11.239,11.719,10.758,10.937,11.331,11.834,9.818,11.475,8.949,10.265,10.545,11.208,10.34,10.66,10.604,10.799,11.987,8.901,10.923,11.906,8.568,9.416,8.958,10.281,9.21,Normal
16.734,17.517,16.841,16.067,16.341,15.013,16.202,15.387,15.999,17.314,14.778,14.782,16.225,14.816,16.757,14.626,17.869,14.679,15.35,15.165,15.825,15.654,17.623,17.309,17.792,17.14,17.539,15.565,17.285,17.715,17.685,14.605,17.19,15.567,17.722,15.161,Normal
20.843,20.562,18.937,19.727,18.658,20.678,18.29,18.172,18.778,19.277,19.884,18.055,20.979,19.878,21.248,21.464,18.879,18.799,19.389,20.155,21.264,18.157,21.134,18.93,21.407,20.937,20.039,19.786,19.098,20.246,21.218,19.605,19.386,18.457,21.357,19.049,Normal
10.434,9.54,9.876,9.771,3.361,4.777,3.12,5.755,7.855,9.982,10.452,10.241,13.07,13.676,15.092,14.561,13.001,14.243,14.149,13.468,12.469,13.295,13.425,13.738,11.504,10.869,11.476,11.652,12.232,11.843,11.65,10.861,10.63,10.879,11.445,12.081,Abnormal
12.473,13.672,12.659,29.357,26.885,24.101,28.901,28.671,30.152,27.171,13.4,13.413,13.959,13.074,13.336,14.152,13.927,13.341,14.581,14.574,15.211,12.828,14.756,14.428,11.571,10.528,12.231,11.514,11.162,11.194,11.535,10.893,11.346,11.272,11.302,12.048,Abnormal
13.768,14.272,13.088,12.99,13.864,3.921,2.828,13.792,15.024,13.454,13.787,15.235,15.108,14.528,14.222,13.099,13.197,15.18,13.708,13.045,14.555,14.246,12.603,15.131,10.561,12.172,10.873,10.536,11.294,11.507,11.334,12.17,11.664,11.229,10.515,10.568,Abnormal
11.5,12.353,10.558,10.404,11.838,10.926,12.201,10.696,11.267,12.012,10.489,12.33,13.872,14.871,15.388,13.806,14.55,14.023,14.168,12.541,12.401,13.684,13.204,14.19,11.241,11.787,10.926,10.587,12.349,12.213,12.302,10.463,10.871,12.298,10.823,11.754,Abnormal
11.903,10.929,2.228,2.421,3.11,12.267,11.1,1.465,3.028,11.08,11.745,10.909,12.911,13.523,13.123,13.775,14.415,15.274,15.384,13.172,14.436,15.089,14.863,15.399,10.986,11.944,10.761,12.001,12.014,12.381,10.887,11.257,11.298,11.416,11.032,12.367,Abnormal
11.416,10.621,11.211,10.652,11.334,24.724,20.741,23.293,23.897,12.233,11.189,11.165,15.296,14.288,13.128,14.718,14.261,13.342,12.79,12.721,15.283,14.678,15.074,12.451,10.463,10.441,12.159,11.424,11.274,12.199,12.071,12.04,11.196,11.292,11.414,11.43,Abnormal
11.718,10.671,11.062,2.617,4.141,11.289,4.566,11.778,11.019,12.399,11.596,11.432,13.074,13.982,13.421,12.656,14.6,13.796,14.954,12.525,12.594,13.432,13.823,14.992,10.736,10.81,11.104,11.919,11.849,12.025,11.882,10.88,10.79,11.454,11.469,11.176,Abnormal
12.11,11.203,10.799,10.474,12.399,11.828,23.937,20.902,22.594,23.014,10.456,12.337,13.719,14.076,13.183,14.803,14.857,12.714,15.139,12.475,15.022,14.96,13.646,14.952,11.044,11.695,11.02,11.384,10.909,10.561,12.391,11.537,10.965,10.71,11.428,11.734,Abnormal
11.667,12.061,11.681,10.455,11.128,10.645,11.732,4.64,5.976,10.796,6.396,2.599,14.614,14.955,13.431,14.253,13.503,13.086,13.337,13.82,12.449,14.193,13.904,13.859,11.654,11.188,11.523,11.267,10.606,12.231,11.269,10.661,11.571,11.971,11.298,11.154,Abnormal
11.712,10.538,10.48,12.092,11.554,2.736,4.394,5.236,11.085,10.63,11.111,10.47,13.917,12.713,14.152,12.663,14.563,13.076,14.539,14.925,14.785,14.999,13.452,12.56,12.198,11.623,10.481,11.422,10.725,11.918,11.077,10.682,11.348,11.635,10.433,12.351,Abnormal
11.886,11.99,12.22,3.063,5.351,4.374,10.737,11.451,11.684,12.37,10.536,12.063,14.87,13.443,12.661,13.649,12.817,14.942,15.257,14.293,13.484,15.048,14.849,13.572,9.127,10.269,9.741,8.7,9.572,8.806,10.296,9.843,9.535,10.295,8.82,8.836,Abnormal
10.478,12.041,10.996,11.347,4.59,6.386,11.372,11.347,10.491,11.456,12.115,12.267,13.622,15.259,14.909,12.516,12.573,15.367,14.959,15.118,14.32,12.831,14.769,13.5,10.018,9.863,9.736,8.89,8.735,9.933,10.026,9.742,9.33,9.293,9.466,8.822,Abnormal
11.54,11.886,12.164,11.906,12.347,12.02,11.414,11.06,3.206,3.628,6.012,11.117,13.245,13.322,15.268,14.338,12.974,14.607,13.098,12.836,15.009,14.348,12.472,13.964,9.255,9.341,9.013,9.952,9.111,8.767,10.362,9.095,9.571,10.26,10.234,9.523,Abnormal
12.202,11.765,11.915,12.366,1.773,3.29,2.194,12.007,12.367,11.235,12.073,10.453,14.016,12.723,14.186,14.686,13.84,15.291,14.005,13.952,13.035,13.456,12.69,13.457,8.711,9.694,10.375,9.18,9.542,9.477,10.309,10.293,9.943,10.261,8.873,9.12,Abnormal
11.226,11.304,12.287,10.656,2.673,2.149,11.045,11.727,11.75,10.782,12.25,10.492,13.785,14.434,14.322,13.498,15.065,15.195,14.503,12.433,13.585,13.392,14.059,15.343,9.071,10.177,10.243,9.841,9.303,9.916,8.947,9.319,9.195,9.099,9.726,10.127,Abnormal
13.577,14.379,14.085,13.619,13.928,13.865,15.354,5.787,5.853,2.585,15.264,14.776,15.359,13.589,14.218,12.986,15.073,13.749,13.294,13.892,12.804,13.314,14.198,12.818,8.902,9,8.962,10.272,9.755,10.184,9.617,9.29,9.068,10.009,9.296,9.839,Abnormal
13.975,14.899,13.099,13.871,3.204,6.325,6.28,14.177,14.052,13.072,13.435,14.878,13.08,12.62,14.739,14.11,14.468,12.806,14.373,14.378,12.879,15.368,13.094,15.191,8.81,9.425,9.352,9.975,10.327,10.343,9.281,10.399,9.723,9.023,9.051,8.7,Abnormal
13.127,15.317,14.816,14.603,14.991,13.98,13.839,12.833,13.005,4.085,3.841,4.155,12.484,12.526,15.079,14.916,12.526,14.79,14.985,14.229,13.967,14.737,14.354,15.196,9.235,10.107,8.969,9.612,9.616,9.655,9.43,9.248,9.218,8.842,9.429,9.628,Abnormal
14.021,13.196,13.263,13.116,12.888,13.71,14.183,13.839,13.201,22.326,23.087,21.907,14.488,14.469,15.116,12.482,14.232,14.927,13.562,12.944,13.532,15.126,12.801,12.407,9.529,9.712,9.972,9.484,9.34,9.835,9.551,9.836,8.721,8.716,8.772,9.916,Abnormal
13.601,13.398,4.794,6.387,5.999,3.308,13.236,14.838,12.507,14.131,12.857,13.494,12.606,15.319,14.29,12.535,12.693,13.293,15.148,14.464,13.166,15.193,13.867,13.473,9.654,10.247,9.14,10.119,8.956,9.368,9.952,10.246,9.405,9.543,8.793,9.103,Abnormal
15.171,13.609,14.368,14.669,12.509,14.924,12.692,13.347,2.326,3.367,2.995,12.414,14.517,15.253,12.689,13.205,15.16,12.795,13.561,14.588,12.722,13.82,15.113,13.773,8.716,10.294,9.368,8.957,10.012,9,9.376,10.384,9.257,9.194,10.284,10.167,Abnormal
14.475,12.704,14.415,15.302,13.981,15.193,14.572,3.245,2.616,2.437,13.362,13.235,15.039,12.95,13.481,12.837,13.068,13.099,13.349,13.96,13.58,13.417,15.097,12.817,9.997,9.469,9.758,8.861,9.054,9.345,9.342,9.887,8.755,9.729,9.069,9.593,Abnormal
14.362,15.394,12.417,2.804,1.934,2.19,13.179,13.114,14.281,13.374,12.98,12.845,15.327,14.132,13.646,13.484,12.444,13.112,13.36,13.507,14.338,12.605,14.005,12.79,9.064,10.077,9.65,10.225,9.025,9.976,9.515,9.771,8.866,9.72,9.886,10.17,Abnormal
12.896,15.043,2.922,6.117,3.379,12.755,13.085,15.105,13.051,15.34,14.415,12.644,14.102,14.185,12.676,12.469,14.403,12.423,13.695,14.832,14.822,14.889,13.788,13.002,9.544,9.874,8.802,10.18,10.197,8.918,8.835,9.322,9.342,8.79,10.178,9.122,Abnormal
14.456,12.636,14.446,15.155,14.277,2.76,3.852,3.779,13.969,14.521,14.903,12.421,12.602,15.031,14.18,14.399,13.253,13.955,13.04,12.753,13.009,12.677,13.063,14.704,10.128,9.511,10.315,9.86,10.229,9.517,9.929,9.472,10.127,9.539,9.299,9.131,Abnormal
13.951,15.105,12.768,14.415,4.034,6.113,13.877,14.203,13.866,15.397,12.911,14.589,10.907,11.988,11.888,11.223,11.848,12.088,11.249,11.262,10.685,12.23,11.831,11.803,9.996,9.419,9.554,9.955,9.127,8.767,9.684,8.702,9.751,9.322,9.981,8.919,Abnormal
14.099,12.777,12.476,13.462,14.675,2.721,14.184,4.976,14.635,12.668,13.175,12.521,12.12,12.281,10.773,11.902,11.555,10.54,12.012,11.552,11.107,11.674,11.205,12.223,9.873,8.957,10.38,9.668,9.815,9.001,9.405,10.071,9.872,8.7,10.271,8.813,Abnormal
12.834,12.784,15.105,5.251,13.699,4.129,13.68,15.052,3.649,15.029,14.209,14.731,11.698,10.7,11.091,10.95,10.599,11.832,11.934,10.57,10.563,10.546,11.019,10.421,10.329,10.037,8.84,9.932,8.958,10.268,9.29,9.485,9.927,10.063,9.272,9.603,Abnormal
14.154,13.035,12.684,14.978,14.956,13.427,14.664,12.903,2.194,1.93,14.443,12.876,10.938,12.052,11.548,11.894,11.863,11.593,10.784,10.871,10.838,11.548,11.629,11.777,8.925,9.646,9,10.394,9.122,10.175,9.18,10.235,9.977,10.339,9.88,10.343,Abnormal
14.601,13.356,14.473,12.553,12.453,12.959,12.702,14.229,1.51,1.594,3.038,13.301,11.953,11.035,10.897,10.578,12.001,10.652,11.177,11.041,11.644,12.372,12.191,12.264,9.087,9.731,9.277,9.465,9.463,10.298,9.519,9.677,8.934,9.123,9.077,8.999,Abnormal
15.033,13.537,12.46,13.516,4.142,3.672,4.865,15.385,15.111,14.829,12.527,12.709,10.566,11.303,11.552,12.16,10.557,11.155,12.053,11.143,11.212,11.774,10.829,11.211,12.229,10.946,12.085,10.913,11.45,11.901,11.208,10.534,10.804,10.713,11.369,11.401,Abnormal
12.495,12.641,12.792,14.878,13.616,13.858,14.993,6.072,2.705,13.466,5.157,14.026,12.112,11.062,12.072,11.474,11.862,11.227,12.114,11.037,10.578,11.663,10.942,12.019,10.71,10.983,11.51,12.182,11.787,11.277,12.193,11.874,12.259,11.506,10.469,12.068,Abnormal
14.649,15.357,1.701,2.36,15.087,13.68,13.548,13.741,1.871,14.343,14.28,15.343,11.869,10.439,11.157,10.778,10.893,11.227,11.08,11.505,11.321,11.529,11.388,10.54,10.621,11.666,11.175,11.61,11.66,11.949,10.589,11.956,10.803,10.887,10.618,11.555,Abnormal
12.985,12.916,13.57,14.977,13.364,12.972,13.441,1.891,14.797,2.561,3.144,12.934,10.843,12.318,10.536,11.924,11.429,10.571,11.294,11.402,12.362,11.274,11.109,11.357,11.231,11.371,10.527,12.188,10.831,10.597,11.56,10.86,10.6,10.715,12.304,11.431,Abnormal
